period,sex,age,initial_state,final_state,calibrated_probability
2010,female,9,1,2,0.0
2010,female,9,1,4,0.0
2010,female,9,1,5,0.0
2010,female,9,2,1,0.0
2010,female,9,2,2,1.0
2010,female,9,2,3,0.0
2010,female,9,2,4,0.0
2010,female,9,2,5,0.0
2010,female,9,3,2,0.0
2010,female,9,3,3,1.0
2010,female,9,3,4,0.0
2010,female,9,3,5,0.0
2010,female,9,4,4,1.0
2010,female,9,4,5,0.0
2010,male,9,0,0,1.0
2010,male,9,0,1,0.0
2010,male,9,0,4,0.0
2010,male,9,0,5,0.0
2010,male,9,1,0,0.0
2010,male,9,1,1,1.0
2010,male,9,1,2,0.0
2010,male,9,1,4,0.0
2010,male,9,1,5,0.0
2010,male,9,2,1,0.0
2010,male,9,2,2,1.0
2010,male,9,2,3,0.0
2010,male,9,2,4,0.0
2010,male,9,2,5,0.0
2010,male,9,3,2,0.0
2010,male,9,3,3,1.0
2010,male,9,3,4,0.0
2010,male,9,3,5,0.0
2010,male,9,4,4,1.0
2010,male,9,4,5,0.0
2010,female,10,0,0,1.0
2010,female,10,0,1,0.0
2010,female,10,0,4,0.0
2010,female,10,0,5,0.0
2010,female,10,1,0,0.0
2010,female,10,1,1,1.0
2010,female,10,1,2,0.0
2010,female,10,1,4,0.0
2010,female,10,1,5,0.0
2010,female,10,2,1,0.0
2010,female,10,2,2,1.0
2010,female,10,2,3,0.0
2010,female,10,2,4,0.0
2010,female,10,2,5,0.0
2010,female,10,3,2,0.0
2010,female,10,3,3,1.0
2010,female,10,3,4,0.0
2010,female,10,3,5,0.0
2010,female,10,4,4,1.0
2010,female,10,4,5,0.0
2010,male,10,0,0,1.0
2010,male,10,0,1,0.0
2010,male,10,0,4,0.0
2010,male,10,0,5,0.0
2010,male,10,1,0,0.0
2010,male,10,1,1,1.0
2010,male,10,1,2,0.0
2010,male,10,1,4,0.0
2010,male,10,1,5,0.0
2010,male,10,2,1,0.0
2010,male,10,2,2,1.0
2010,male,10,2,3,0.0
2010,male,10,2,4,0.0
2010,male,10,2,5,0.0
2010,male,10,3,2,0.0
2010,male,10,3,3,1.0
