age,initial_state,final_state,probability,mortality
65,3,5,0.328330774017,0.180445715048
66,3,5,0.333890549261,0.183844714078
67,3,5,0.339761573905,0.187449431669
68,3,5,0.345789954615,0.191167480015
69,3,5,0.351795962256,0.194888804112
70,3,5,0.35765102721,0.198533236628
71,3,5,0.363348366108,0.202095473197
72,3,5,0.369040428132,0.205670363219
73,3,5,0.37502667807,0.209447457831
74,3,5,0.381696815962,0.213677430034
75,3,5,0.38945258964,0.218624667423
76,3,5,0.398635040581,0.224522753771
77,3,5,0.40947496146,0.231543730236
78,3,5,0.422071789143,0.239784102471
79,3,5,0.436397382203,0.249265281343
80,3,5,0.45231756486,0.259944302677
81,3,5,0.469623875778,0.271730733711
82,3,5,0.4880684853,0.284506104359
83,3,5,0.507395963367,0.298142438501
84,3,5,0.527366715765,0.312516702577
85,3,5,0.547768752987,0.327518589838
86,3,5,0.56841683592,0.343050105351
87,3,5,0.589140365845,0.359016666242
88,3,5,0.609763038853,0.375310508215
89,3,5,0.630077936288,0.391787813578
90,3,5,0.649821347969,0.408241052428
91,3,5,0.668647302578,0.424367567434
92,3,5,0.686102459082,0.43973440145
93,3,5,0.70159739161,0.453737601156
94,3,5,0.714364841105,0.465551537663
95,3,5,0.723387603385,0.474060462967
96,3,5,0.727268255527,0.47776275078
97,3,5,0.724002501572,0.474645359374
98,3,5,0.710621279409,0.462060672017
99,3,5,0.682734934051,0.436737125359
100,3,5,0.634292071088,0.395262098995
101,3,5,0.55861298926,0.335630365881
102,3,5,0.452751747525,0.260237705425
103,3,5,0.325585742842,0.178772712851
104,3,5,0.201229780799,0.106260541768
105,3,5,0.105566097601,0.054254842783
106,3,5,0.047436038874,0.0240061674754
107,3,5,0.0185895135147,0.00933835923394
108,3,5,0.00644581379322,0.00322811726716
109,3,5,0.00199146248156,0.000996227475371
110,3,5,0.000548830728728,0.000274453026596
111,3,5,0.000134628030414,6.73162809478e-05
112,3,5,2.92867221578e-05,1.46434682945e-05
113,3,5,5.62598739879e-06,2.81299765592e-06
