age,initial_state,final_state,probability,mortality
115,0,5,1.07889385933e-09,5.39446931569e-10
116,0,5,2.05337591281e-10,1.02668873403e-10
117,0,5,3.57540471342e-11,1.78770331871e-11
118,0,5,5.68318217654e-12,2.84161583153e-12
119,0,5,8.22830141785e-13,4.11448652926e-13
65,1,5,0.101716119535,0.0522216079351
66,1,5,0.0929446493228,0.0476054648008
67,1,5,0.0863137956049,0.0441306551651
68,1,5,0.0814081889379,0.0415680456798
69,1,5,0.0779164113702,0.0397481639539
70,1,5,0.0756054237832,0.038545593272
71,1,5,0.0743008174346,0.0378673778707
72,1,5,0.0738717041312,0.0376444025888
73,1,5,0.0742191385467,0.0378249320143
74,1,5,0.0752671752497,0.038369704746
75,1,5,0.0769558936324,0.0392481556783
76,1,5,0.0792359347555,0.0404354814581
77,1,5,0.0820642706315,0.0419103750856
78,1,5,0.0854010619564,0.0436533379346
79,1,5,0.0892075484213,0.0456455314828
80,1,5,0.0934449498903,0.0478681550806
81,1,5,0.0980743334535,0.0503023288717
82,1,5,0.103057325168,0.052929424577
83,1,5,0.108357431487,0.0557317285257
84,1,5,0.113941607555,0.058693252736
85,1,5,0.119781590039,0.0618004423574
86,1,5,0.12585440668,0.0650424644297
87,1,5,0.13214135443,0.0684106883558
88,1,5,0.138624520657,0.0718968379845
89,1,5,0.145279447168,0.075489019626
90,1,5,0.152061520909,0.0791642496669
91,1,5,0.158881624792,0.0828749402574
92,1,5,0.165562676037,0.0865245903896
93,1,5,0.171761810474,0.0899240748565
94,1,5,0.176832962919,0.0927144677219
95,1,5,0.179598619087,0.0942398877664
96,1,5,0.178035805478,0.0933775898855
97,1,5,0.16908528936,0.088454767639
98,1,5,0.149359893198,0.0776984729482
99,1,5,0.117973658839,0.0608374255959
100,1,5,0.0803031358387,0.0409917288358
101,1,5,0.0464039942113,0.0234775958593
102,1,5,0.0230558016286,0.0115951242677
103,1,5,0.0101022466367,0.00506394508829
104,1,5,0.00398754450188,0.00199576378749
105,1,5,0.00143471370069,0.000717614335511
106,1,5,0.000472570051769,0.000236312947789
107,1,5,0.000142506290776,7.12556840743e-05
108,1,5,3.92667966881e-05,1.9633591083e-05
109,1,5,9.85911098229e-06,4.92956764142e-06
110,1,5,2.24871768588e-06,1.12435947497e-06
111,1,5,4.64447400436e-07,2.32223727137e-07
112,1,5,8.65861866168e-08,4.32930942207e-08
113,1,5,1.45235750996e-08,7.26178761568e-09
114,1,5,2.18480538386e-09,1.09240272383e-09
115,1,5,2.93810648651e-10,1.46905376752e-10
116,1,5,3.52078145668e-11,1.76039183231e-11
117,1,5,3.74738719017e-12,1.87372339866e-12
118,1,5,3.53132128071e-13,1.76636483218e-13
119,1,5,2.93674514705e-14,1.47659662275e-14
65,2,5,0.108491625355,0.0558027882664
66,2,5,0.114373066047,0.0589224612429
67,2,5,0.119989183029,0.0619110825881
68,2,5,0.125342433911,0.0647687098427
69,2,5,0.130448029707,0.0675022947521
70,2,5,0.135332592136,0.0701250579436
71,2,5,0.140032615095,0.0726557354979
72,2,5,0.144592882453,0.0751177817978
73,2,5,0.149064965097,0.0775385997762
74,2,5,0.153505887035,0.0799488530715
75,2,5,0.157977018008,0.0823818975237
76,2,5,0.162543221749,0.0848733539825
77,2,5,0.167272266397,0.0874608317433
78,2,5,0.172234486875,0.0901838025597
79,2,5,0.177502677853,0.0930836189885
80,2,5,0.183152189164,0.0962036673916
81,2,5,0.189261191948,0.099589644633
82,2,5,0.195911082093,0.103289947694
83,2,5,0.203186986377,0.107356166423
84,2,5,0.211178334816,0.111843670752
85,2,5,0.219979458746,0.116812284249
86,2,5,0.229690166578,0.12232703504
87,2,5,0.240416236325,0.128458971892
88,2,5,0.252269743875,0.135286026408
89,2,5,0.265369116458,0.14289389015
90,2,5,0.279838759764,0.151376856175
91,2,5,0.29580805345,0.1608385456
92,2,5,0.313409443867,0.171392399182
93,2,5,0.332775289179,0.183161759697
94,2,5,0.354033041391,0.19627930311
95,2,5,0.377298303039,0.210885498194
96,2,5,0.402665307801,0.227125694438
97,2,5,0.430194494586,0.245145374649
98,2,5,0.459897137786,0.265083091626
99,2,5,0.491717528314,0.287060681624
100,2,5,0.525514010304,0.3111705656
101,2,5,0.561041233024,0.337460365732
102,2,5,0.597937107934,0.365915705867
103,2,5,0.635718816648,0.396442891391
104,2,5,0.67379228333,0.428854032081
105,2,5,0.711478272548,0.462857814492
106,2,5,0.748055438701,0.498059205384
107,2,5,0.782816581031,0.533970581434
108,2,5,0.815130158676,0.570035069659
109,2,5,0.84449639848,0.605660550388
110,2,5,0.870587463837,0.640260460662
