SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

  11   80432     193 0.00240 50.06   80336
  12   80239     203 0.00253 49.18   80138
  13   80036     217 0.00271 48.30   79928
  14   79820     243 0.00305 47.43   79698
  15   79576     293 0.00369 46.58   79430
  16   79283     351 0.00443 45.75   79108
  17   78932     391 0.00495 44.95   78737
  18   78541     418 0.00532 44.17   78333
  19   78124     449 0.00574 43.40   77899
  20   77675     480 0.00618 42.65   77435
  21   77195     551 0.00714 41.91   76919
  22   76643     530 0.00692 41.21   76378
  23   76113     519 0.00681 40.50   75854
  24   75594     522 0.00691 39.77   75333
  25   75072     515 0.00686 39.04   74815
  26   74558     525 0.00705 38.31   74295
  27   74032     520 0.00702 37.58   73772
  28   73513     526 0.00716 36.84   73249
  29   72986     544 0.00745 36.10   72714
  30   72443     524 0.00724 35.37   72180
  31   71918     535 0.00744 34.62   71651
  32   71383     551 0.00771 33.88   71108
  33   70833     545 0.00769 33.14   70560
  34   70288     586 0.00834 32.39   69995
  35   69702     594 0.00853 31.66   69404
  36   69107     584 0.00845 30.93   68815
  37   68523     602 0.00878 30.19   68222
  38   67921     620 0.00913 29.45   67611
  39   67301     611 0.00908 28.72   66996
  40   66690     627 0.00940 27.97   66377
  41   66063     646 0.00978 27.24   65740
  42   65417     664 0.01015 26.50   65085
  43   64753     706 0.01090 25.77   64400
  44   64047     723 0.01129 25.04   63686
  45   63324     738 0.01166 24.32   62955
  46   62586     749 0.01197 23.61   62211
  47   61836     798 0.01290 22.89   61437
  48   61039     824 0.01350 22.18   60626
  49   60214     845 0.01403 21.48   59792
  50   59369     896 0.01510 20.77   58921
  51   58473     901 0.01540 20.08   58023
  52   57572     915 0.01589 19.39   57115
  53   56657     954 0.01684 18.70   56180
  54   55703    1028 0.01845 18.01   55189
  55   54675    1094 0.02000 17.34   54128
  56   53581    1063 0.01985 16.68   53050
  57   52518    1140 0.02171 16.01   51948
