SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

  53   81780     872 0.01067 21.78   81344
  54   80908     926 0.01145 21.00   80445
  55   79982     965 0.01207 20.24   79499
  56   79017    1022 0.01294 19.48   78506
  57   77995    1108 0.01420 18.73   77441
  58   76887    1182 0.01538 17.99   76296
  59   75705    1216 0.01607 17.27   75097
  60   74489    1299 0.01743 16.54   73839
  61   73190    1416 0.01935 15.83   72482
  62   71774    1465 0.02042 15.13   71041
  63   70309    1591 0.02262 14.43   69513
  64   68718    1737 0.02527 13.76   67849
  65   66981    1822 0.02721 13.10   66070
  66   65159    1906 0.02926 12.45   64205
  67   63252    2048 0.03237 11.81   62228
  68   61204    2164 0.03536 11.19   60122
  69   59040    2284 0.03868 10.58   57898
  70   56756    2448 0.04314  9.99   55532
  71   54308    2607 0.04800  9.42   53005
  72   51701    2791 0.05398  8.87   50306
  73   48910    2901 0.05932  8.34   47460
  74   46009    2978 0.06472  7.84   44520
  75   43031    3148 0.07317  7.35   41457
  76   39883    3236 0.08113  6.89   38265
  77   36647    3305 0.09017  6.45   34995
  78   33343    3291 0.09871  6.04   31697
  79   30051    3323 0.11056  5.65   28390
  80   26729    3144 0.11762  5.29   25157
  81   23585    3051 0.12936  4.92   22059
  82   20534    3032 0.14765  4.58   19018
  83   17502    2828 0.16156  4.29   16088
  84   14675    2556 0.17421  4.02   13396
  85   12118    2296 0.18943  3.76   10970
  86    9823    2020 0.20565  3.52    8813
  87    7803    1743 0.22344  3.31    6931
  88    6059    1422 0.23460  3.11    5348
  89    4638    1210 0.26099  2.92    4032
  90    3427     918 0.26778  2.77    2968
  91    2510     736 0.29321  2.60    2142
  92    1774     552 0.31138  2.47    1498
  93    1221     393 0.32166  2.36    1025
  94     829     273 0.32954  2.24     692
  95     555     204 0.36758  2.09     453
  96     351     124 0.35263  2.02     289
  97     227      89 0.38996  1.84     183
  98     139      57 0.40835  1.70     110
  99      82      39 0.47101  1.53      63
 100      43      24 0.55389  1.45      31
 101      19       9 0.44273  1.63      15
 102      11       5 0.45513  1.52       8
 103       6       3 0.51514  1.38       4
 104       3       2 0.57141  1.31       2
 105       1                  1.39       1
 Total population stationnaire     6606258



               SEXES REUNIS
     Table de mortalité : année 1952

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    4480 0.04480 67.39   97760
   1   95520     531 0.00556 69.53   95254
   2   94989     174 0.00183 68.91   94902
   3   94815     107 0.00113 68.04   94761
   4   94708      84 0.00089 67.11   94666
   5   94624      70 0.00074 66.17   94589
   6   94554      50 0.00053 65.22   94529
   7   94504      46 0.00049 64.26   94481
   8   94458      48 0.00051 63.29   94434
   9   94409      43 0.00046 62.32   94388
  10   94366      36 0.00039 61.35   94348
  11   94329      44 0.00046 60.37   94308
  12   94286      38 0.00040 59.40   94267
  13   94248      47 0.00050 58.42   94225
  14   94201      61 0.00065 57.45   94171
  15   94140      66 0.00071 56.49   94107
  16   94074      76 0.00081 55.53   94036
  17   93998      90 0.00096 54.57   93953
  18   93908      92 0.00098 53.62   93862
  19   93816     100 0.00106 52.68   93766
  20   93716     110 0.00117 51.73   93662
  21   93607     113 0.00120 50.79   93550
  22   93494     136 0.00146 49.85   93426
  23   93358     133 0.00143 48.92   93291
  24   93224     145 0.00155 47.99   93152
  25   93079     141 0.00151 47.07   93009
  26   92939     140 0.00151 46.14   92869
  27   92799     148 0.00159 45.21   92725
  28   92651     161 0.00174 44.28   92570
  29   92490     164 0.00177 43.35   92408
  30   92326     164 0.00178 42.43   92244
  31   92162     176 0.00190 41.50   92074
  32   91987     198 0.00215 40.58   91888
  33   91789     189 0.00206 39.67   91695
  34   91600     224 0.00245 38.75   91488
  35   91376     238 0.00260 37.84   91257
  36   91138     212 0.00232 36.94   91032
  37   90926     249 0.00274 36.03   90801
  38   90677     266 0.00293 35.12   90544
  39   90411     279 0.00308 34.23   90272
  40   90132     314 0.00348 33.33   89975
  41   89818     326 0.00363 32.44   89655
  42   89492     369 0.00412 31.56   89308
  43   89123     391 0.00438 30.69   88928
  44   88733     430 0.00484 29.82   88518
  45   88303     469 0.00531 28.97   88069
  46   87835     508 0.00578 28.12   87581
  47   87327     552 0.00632 27.28   87051
  48   86775     584 0.00672 26.45   86483
  49   86191     638 0.00741 25.62   85872
  50   85553     712 0.00832 24.81   85197
  51   84841     751 0.00886 24.02   84465
  52   84089     791 0.00940 23.23   83694
  53   83299     864 0.01037 22.44   82867
  54   82435     921 0.01117 21.67   81974
  55   81514     934 0.01145 20.91   81047
  56   80580     997 0.01238 20.15   80082
  57   79583    1066 0.01339 19.39   79050
  58   78517    1125 0.01433 18.65   77955
  59   77393    1194 0.01542 17.91   76796
  60   76199    1256 0.01648 17.19   75571
  61   74943    1325 0.01769 16.47   74280
  62   73618    1427 0.01939 15.75   72904
  63   72190    1526 0.02114 15.05   71427
  64   70664    1656 0.02344 14.37   69836
  65   69008    1735 0.02514 13.70   68141
  66   67273    1872 0.02783 13.04   66337
  67   65401    1961 0.02999 12.40   64420
  68   63439    2114 0.03332 11.77   62383
  69   61326    2259 0.03684 11.16   60196
  70   59066    2392 0.04050 10.56   57870
  71   56674    2496 0.04405  9.99   55426
  72   54178    2688 0.04962  9.43   52834
  73   51489    2812 0.05461  8.89   50083
  74   48677    2930 0.06020  8.38   47212
  75   45747    2983 0.06521  7.88   44256
  76   42764    3132 0.07324  7.40   41198
  77   39632    3205 0.08087  6.94   38030
  78   36427    3262 0.08954  6.51   34796
  79   33166    3297 0.09940  6.10   31517
  80   29869    3255 0.10896  5.72   28241
  81   26614    3119 0.11720  5.36   25055
  82   23495    3029 0.12892  5.00   21981
  83   20466    2915 0.14245  4.67   19008
  84   17551    2807 0.15995  4.36   16147
  85   14744    2586 0.17536  4.09   13451
  86   12158    2250 0.18504  3.86   11033
  87    9908    1951 0.19690  3.62    8933
  88    7957    1759 0.22100  3.39    7078
  89    6199    1437 0.23186  3.21    5480
  90    4761    1178 0.24736  3.02    4173
  91    3584     926 0.25845  2.85    3121
  92    2658     724 0.27245  2.67    2295
  93    1933     572 0.29610  2.49    1647
  94    1361     444 0.32621  2.32    1139
  95     917     302 0.32918  2.21     766
  96     615     225 0.36536  2.05     503
  97     390     141 0.36179  1.94     320
  98     249      99 0.39597  1.75     200
  99     150      72 0.47994  1.57     114
 100      78      35 0.45256  1.55      61
 101      43      22 0.50604  1.42      32
 102      21      12 0.56369  1.37      15
 103       9       4 0.48081  1.49       7
 104       5       3 0.58336  1.40       3
 105       2                  1.67       2
 Total population stationnaire     6738848



               SEXES REUNIS
     Table de mortalité : année 1953

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    4122 0.04122 67.28   97939
   1   95878     401 0.00419 69.16   95677
   2   95477     169 0.00177 68.44   95392
   3   95308      98 0.00103 67.56   95259
   4   95210      81 0.00085 66.63   95170
   5   95129      68 0.00072 65.69   95095
   6   95061      51 0.00054 64.74   95035
   7   95010      43 0.00045 63.77   94988
   8   94967      39 0.00041 62.80   94947
   9   94928      41 0.00043 61.83   94907
  10   94887      39 0.00041 60.85   94867
  11   94848      37 0.00039 59.88   94829
  12   94811      46 0.00048 58.90   94788
  13   94765      42 0.00045 57.93   94744
  14   94722      53 0.00056 56.95   94696
  15   94670      59 0.00062 55.99   94640
  16   94611      71 0.00075 55.02   94575
  17   94540      85 0.00089 54.06   94497
  18   94455      91 0.00096 53.11   94409
  19   94364     100 0.00106 52.16   94314
  20   94264     106 0.00113 51.21   94211
  21   94158     105 0.00111 50.27   94105
  22   94053     127 0.00135 49.33   93990
  23   93926     127 0.00135 48.39   93862
  24   93799     138 0.00147 47.46   93730
  25   93661     136 0.00145 46.53   93593
  26   93525     144 0.00154 45.59   93453
  27   93381     152 0.00162 44.66   93305
  28   93230     152 0.00163 43.74   93154
  29   93078     163 0.00175 42.81   92996
  30   92915     174 0.00188 41.88   92828
  31   92741     173 0.00186 40.96   92654
  32   92568     185 0.00200 40.03   92475
  33   92383     207 0.00224 39.11   92279
  34   92176     200 0.00217 38.20   92076
  35   91975     214 0.00232 37.28   91869
  36   91762     240 0.00262 36.37   91642
  37   91522     256 0.00280 35.46   91394
  38   91266     260 0.00285 34.56   91136
  39   91006     284 0.00312 33.66   90864
  40   90722     318 0.00351 32.76   90562
  41   90403     334 0.00370 31.87   90236
  42   90069     358 0.00398 30.99   89890
  43   89711     408 0.00455 30.11   89507
  44   89303     435 0.00488 29.25   89085
  45   88867     463 0.00521 28.39   88636
  46   88405     525 0.00594 27.53   88142
  47   87880     582 0.00662 26.70   87589
  48   87298     623 0.00714 25.87   86986
  49   86675     653 0.00753 25.05   86348
  50   86022     735 0.00854 24.24   85654
  51   85287     781 0.00916 23.44   84896
  52   84506     842 0.00996 22.66   84085
  53   83665     893 0.01067 21.88   83218
  54   82772     952 0.01150 21.11   82296
  55   81820     992 0.01213 20.35   81324
  56   80828    1095 0.01355 19.59   80280
  57   79733    1098 0.01377 18.85   79184
  58   78635    1184 0.01505 18.11   78043
  59   77451    1241 0.01603 17.38   76831
  60   76210    1324 0.01738 16.65   75548
  61   74886    1405 0.01876 15.94   74183
  62   73481    1481 0.02016 15.24   72740
  63   72000    1571 0.02182 14.54   71214
  64   70428    1679 0.02384 13.85   69589
  65   68750    1831 0.02664 13.18   67834
  66   66918    1951 0.02916 12.53   65943
  67   64967    2044 0.03146 11.89   63945
  68   62923    2198 0.03493 11.26   61824
  69   60725    2341 0.03854 10.65   59555
  70   58385    2493 0.04269 10.05   57139
  71   55892    2624 0.04695  9.48   54580
  72   53268    2802 0.05259  8.92   51867
  73   50466    2923 0.05793  8.39   49005
  74   47543    3106 0.06533  7.87   45990
  75   44437    3217 0.07239  7.39   42829
  76   41220    3312 0.08034  6.93   39564
  77   37909    3351 0.08838  6.49   36233
  78   34558    3366 0.09740  6.07   32875
  79   31192    3404 0.10913  5.67   29490
  80   27788    3292 0.11847  5.30   26142
  81   24496    3261 0.13312  4.95   22865
  82   21235    2985 0.14056  4.63   19743
  83   18250    2840 0.15559  4.31   16830
  84   15411    2633 0.17086  4.01   14094
  85   12777    2452 0.19186  3.73   11552
  86   10326    2153 0.20854  3.50    9249
  87    8173    1835 0.22458  3.29    7255
  88    6337    1509 0.23808  3.09    5583
  89    4828    1237 0.25612  2.90    4210
  90    3592     977 0.27192  2.73    3103
  91    2615     755 0.28870  2.56    2238
  92    1860     580 0.31199  2.40    1570
  93    1280     425 0.33200  2.26    1067
  94     855     293 0.34327  2.13     708
  95     561     211 0.37623  1.99     456
  96     350     131 0.37514  1.89     285
  97     219      88 0.40033  1.72     175
  98     131      53 0.40414  1.54     105
  99      78      41 0.52131  1.24      58
 100      37      25 0.67609  1.04      25
 101      12       7 0.58444  1.17       9
 102       5       3 0.65304  1.10       3
 103       2       1 0.44448  1.24       1
 104       1       1 0.71430  0.83       1
 105       0                  0.67       0
 Total population stationnaire     6728454



               SEXES REUNIS
     Table de mortalité : année 1954

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    4042 0.04042 68.18   97979
   1   95958     395 0.00412 70.03   95761
   2   95563     151 0.00158 69.32   95487
   3   95411      87 0.00092 68.43   95368
   4   95324      71 0.00075 67.49   95288
   5   95253      54 0.00057 66.54   95226
   6   95199      50 0.00052 65.58   95174
   7   95149      40 0.00042 64.62   95129
   8   95109      36 0.00038 63.64   95091
   9   95073      38 0.00040 62.67   95053
  10   95034      36 0.00038 61.69   95016
  11   94998      43 0.00045 60.72   94977
  12   94956      36 0.00038 59.74   94938
  13   94920      37 0.00039 58.76   94901
  14   94882      47 0.00050 57.79   94859
  15   94835      58 0.00061 56.82   94807
  16   94778      67 0.00071 55.85   94744
  17   94711      79 0.00083 54.89   94671
  18   94632      91 0.00097 53.93   94586
  19   94541      98 0.00103 52.99   94492
  20   94443     103 0.00109 52.04   94392
  21   94340      98 0.00104 51.10   94291
  22   94242     112 0.00119 50.15   94186
  23   94130     118 0.00125 49.21   94071
  24   94012     123 0.00130 48.27   93951
  25   93890     133 0.00142 47.33   93823
  26   93756     141 0.00150 46.40   93686
  27   93616     130 0.00139 45.47   93551
  28   93486     141 0.00151 44.53   93415
  29   93345     158 0.00169 43.60   93266
  30   93187     163 0.00175 42.67   93106
  31   93024     167 0.00179 41.74   92941
  32   92858     174 0.00187 40.82   92771
  33   92684     181 0.00196 39.89   92593
  34   92503     209 0.00226 38.97   92398
  35   92294     224 0.00243 38.06   92182
  36   92070     238 0.00258 37.15   91951
  37   91832     246 0.00267 36.24   91709
  38   91586     268 0.00292 35.34   91452
  39   91319     263 0.00288 34.44   91187
  40   91055     299 0.00328 33.54   90906
  41   90756     317 0.00350 32.65   90598
  42   90439     364 0.00403 31.76   90257
  43   90075     383 0.00425 30.89   89883
  44   89692     407 0.00454 30.02   89488
  45   89285     457 0.00512 29.15   89057
  46   88828     505 0.00569 28.30   88576
  47   88323     557 0.00631 27.46   88044
  48   87766     571 0.00650 26.63   87480
  49   87195     652 0.00748 25.80   86869
  50   86543     692 0.00799 24.99   86197
  51   85851     757 0.00882 24.19   85473
  52   85094     794 0.00933 23.40   84697
  53   84300     840 0.00996 22.61   83881
  54   83461     926 0.01110 21.84   82998
  55   82535     966 0.01171 21.08   82051
  56   81568    1034 0.01268 20.32   81051
  57   80534    1077 0.01338 19.57   79995
  58   79457    1115 0.01404 18.83   78899
  59   78341    1189 0.01517 18.09   77747
  60   77153    1284 0.01664 17.37   76510
  61   75868    1350 0.01779 16.65   75193
  62   74518    1447 0.01942 15.94   73795
  63   73072    1499 0.02051 15.25   72322
  64   71573    1631 0.02278 14.56   70758
  65   69942    1725 0.02467 13.89   69080
  66   68217    1807 0.02649 13.22   67313
  67   66410    1958 0.02948 12.57   65431
  68   64452    2114 0.03279 11.94   63395
  69   62338    2189 0.03511 11.32   61244
  70   60150    2365 0.03933 10.72   58967
  71   57784    2477 0.04287 10.14   56546
  72   55307    2620 0.04737  9.57   53997
  73   52687    2732 0.05185  9.02   51321
  74   49955    2933 0.05871  8.49   48489
  75   47022    3096 0.06583  7.98   45475
  76   43927    3183 0.07245  7.51   42335
  77   40744    3198 0.07850  7.06   39145
  78   37546    3245 0.08643  6.62   35923
  79   34301    3276 0.09552  6.20   32662
  80   31024    3329 0.10732  5.80   29359
  81   27695    3213 0.11602  5.43   26088
  82   24482    3138 0.12816  5.08   22913
  83   21344    2923 0.13693  4.76   19883
  84   18421    2765 0.15010  4.43   17039
  85   15656    2632 0.16810  4.13   14340
  86   13024    2458 0.18870  3.86   11796
  87   10567    2124 0.20099  3.64    9505
  88    8443    1808 0.21419  3.43    7539
  89    6635    1521 0.22923  3.23    5874
  90    5114    1246 0.24357  3.04    4491
  91    3868     996 0.25759  2.86    3370
  92    2872     811 0.28232  2.67    2466
  93    2061     596 0.28898  2.53    1763
  94    1465     462 0.31524  2.36    1234
  95    1003     349 0.34748  2.21     829
  96     655     229 0.34993  2.12     540
  97     426     158 0.37098  1.99     347
  98     268     107 0.40116  1.87     214
  99     160      65 0.40746  1.79     128
 100      95      49 0.51607  1.68      70
 101      46      16 0.35032  1.94      38
 102      30      12 0.40873  1.72      24
 103      18       8 0.43533  1.56      14
 104      10       5 0.47504  1.37       8
 105       5                  1.17       4
 Total population stationnaire     6818396



               SEXES REUNIS
     Table de mortalité : année 1955

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    3807 0.03807 68.44   98096
   1   96193     397 0.00413 70.13   95994
   2   95796     136 0.00142 69.41   95728
   3   95660      93 0.00097 68.51   95613
   4   95567      70 0.00073 67.58   95532
   5   95497      52 0.00055 66.63   95471
   6   95445      46 0.00048 65.66   95422
   7   95399      39 0.00041 64.69   95380
   8   95360      35 0.00037 63.72   95343
   9   95325      32 0.00034 62.74   95309
  10   95293      32 0.00034 61.76   95277
  11   95261      35 0.00036 60.79   95243
  12   95226      38 0.00040 59.81   95207
  13   95188      38 0.00040 58.83   95169
  14   95150      50 0.00052 57.85   95125
  15   95100      58 0.00060 56.88   95071
  16   95043      62 0.00065 55.92   95012
  17   94981      74 0.00078 54.95   94944
  18   94907      89 0.00094 54.00   94862
  19   94818      97 0.00103 53.05   94769
  20   94720     112 0.00118 52.10   94664
  21   94608      96 0.00102 51.16   94560
  22   94512     111 0.00118 50.21   94456
  23   94401     117 0.00124 49.27   94342
  24   94283     131 0.00139 48.33   94218
  25   94153     138 0.00147 47.40   94084
  26   94015     129 0.00137 46.47   93950
  27   93886     137 0.00146 45.53   93817
  28   93748     146 0.00156 44.60   93675
  29   93602     147 0.00157 43.67   93528
  30   93455     153 0.00163 42.73   93379
  31   93302     159 0.00171 41.80   93223
  32   93143     179 0.00192 40.87   93053
  33   92964     182 0.00196 39.95   92873
  34   92782     200 0.00215 39.03   92682
  35   92582     224 0.00242 38.11   92470
  36   92359     221 0.00240 37.20   92248
  37   92137     248 0.00269 36.29   92013
  38   91889     251 0.00273 35.39   91764
  39   91638     259 0.00283 34.48   91508
  40   91379     285 0.00312 33.58   91236
  41   91094     310 0.00340 32.68   90939
  42   90784     338 0.00373 31.79   90615
  43   90446     378 0.00418 30.91   90257
  44   90068     399 0.00443 30.04   89868
  45   89668     451 0.00503 29.17   89443
  46   89218     494 0.00554 28.31   88971
  47   88723     525 0.00591 27.47   88461
  48   88199     585 0.00663 26.63   87906
  49   87614     629 0.00717 25.80   87300
  50   86986     689 0.00792 24.99   86641
  51   86297     733 0.00850 24.18   85930
  52   85564     780 0.00912 23.39   85174
  53   84784     854 0.01007 22.60   84357
  54   83930     908 0.01081 21.82   83476
  55   83023     968 0.01167 21.05   82538
  56   82054    1038 0.01266 20.30   81535
  57   81016    1077 0.01329 19.55   80477
  58   79939    1133 0.01418 18.81   79372
  59   78805    1220 0.01548 18.07   78195
  60   77585    1270 0.01637 17.35   76950
  61   76315    1334 0.01749 16.63   75648
  62   74981    1403 0.01871 15.91   74279
  63   73578    1543 0.02097 15.21   72806
  64   72035    1635 0.02270 14.52   71217
  65   70399    1711 0.02430 13.85   69544
  66   68688    1824 0.02656 13.18   67776
  67   66864    1961 0.02933 12.53   65883
  68   64903    2093 0.03224 11.89   63856
  69   62810    2257 0.03594 11.27   61681
  70   60553    2327 0.03843 10.67   59389
  71   58226    2480 0.04259 10.08   56986
  72   55746    2680 0.04808  9.50   54406
  73   53066    2827 0.05327  8.96   51653
  74   50239    2901 0.05774  8.44   48789
  75   47338    3056 0.06457  7.92   45810
  76   44282    3202 0.07232  7.43   42681
  77   41079    3268 0.07956  6.97   39445
  78   37811    3361 0.08889  6.53   36131
  79   34450    3340 0.09696  6.12   32780
  80   31110    3373 0.10843  5.73   29423
  81   27736    3241 0.11683  5.36   26116
  82   24496    3187 0.13009  5.00   22903
  83   21309    3049 0.14309  4.68   19785
  84   18260    2789 0.15273  4.38   16866
  85   15471    2560 0.16546  4.08   14191
  86   12911    2455 0.19015  3.78   11684
  87   10456    2215 0.21185  3.56    9349
  88    8241    1836 0.22285  3.38    7323
  89    6405    1503 0.23471  3.20    5653
  90    4901    1226 0.25014  3.03    4288
  91    3675     948 0.25796  2.87    3201
  92    2727     781 0.28643  2.70    2337
  93    1946     576 0.29591  2.58    1658
  94    1370     425 0.30984  2.45    1158
  95     946     322 0.34079  2.33     785
  96     623     218 0.34957  2.28     514
  97     405     151 0.37233  2.23     330
  98     255      90 0.35425  2.26     209
  99     164      58 0.35122  2.23     135
 100     107      49 0.46099  2.17      82
 101      57      17 0.30211  2.59      49
 102      40      11 0.26879  2.50      35
 103      29       6 0.18913  2.24      27
 104      24       9 0.37668  1.64      19
 105      15                  1.33      14
 Total population stationnaire     6843617



               SEXES REUNIS
     Table de mortalité : année 1956

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    3572 0.03572 68.45   98214
   1   96428     309 0.00321 69.97   96273
   2   96119     131 0.00136 69.19   96053
   3   95988      86 0.00089 68.29   95945
   4   95902      69 0.00072 67.35   95867
   5   95833      54 0.00056 66.40   95806
   6   95779      48 0.00050 65.43   95755
   7   95731      41 0.00043 64.47   95710
   8   95690      36 0.00038 63.49   95672
   9   95654      34 0.00036 62.52   95637
  10   95620      32 0.00033 61.54   95604
  11   95588      32 0.00034 60.56   95572
  12   95555      37 0.00039 59.58   95537
  13   95518      34 0.00035 58.60   95502
  14   95485      45 0.00047 57.62   95462
  15   95440      58 0.00061 56.65   95411
  16   95382      59 0.00061 55.68   95352
  17   95323      70 0.00074 54.72   95288
  18   95253      89 0.00093 53.76   95208
  19   95164     102 0.00108 52.81   95113
  20   95062      99 0.00104 51.86   95012
  21   94963      85 0.00090 50.92   94920
  22   94877      92 0.00097 49.96   94831
  23   94785     122 0.00128 49.01   94724
  24   94664     112 0.00119 48.07   94607
  25   94551     117 0.00124 47.13   94493
  26   94434     132 0.00140 46.19   94368
  27   94301     131 0.00139 45.25   94236
  28   94170     141 0.00149 44.31   94100
  29   94030     146 0.00155 43.38   93957
  30   93884     160 0.00171 42.45   93804
  31   93724     170 0.00182 41.52   93639
  32   93554     168 0.00179 40.59   93470
  33   93386     191 0.00204 39.66   93290
  34   93195     198 0.00212 38.74   93096
  35   92997     207 0.00222 37.83   92894
  36   92791     240 0.00258 36.91   92671
  37   92551     245 0.00265 36.00   92428
  38   92306     263 0.00285 35.10   92174
  39   92043     274 0.00298 34.20   91906
  40   91769     297 0.00324 33.30   91620
  41   91472     317 0.00346 32.40   91313
  42   91155     350 0.00384 31.51   90980
  43   90805     380 0.00418 30.63   90615
  44   90425     421 0.00465 29.76   90215
  45   90004     457 0.00508 28.90   89776
  46   89547     490 0.00548 28.04   89302
  47   89057     541 0.00607 27.19   88787
  48   88516     591 0.00667 26.36   88221
  49   87926     639 0.00727 25.53   87606
  50   87287     717 0.00821 24.71   86928
  51   86570     742 0.00858 23.91   86199
  52   85827     803 0.00936 23.12   85426
  53   85024     881 0.01037 22.33   84583
  54   84143     917 0.01090 21.56   83684
  55   83226     968 0.01163 20.79   82742
  56   82258    1050 0.01277 20.03   81733
  57   81208    1135 0.01397 19.28   80640
  58   80073    1181 0.01475 18.55   79483
  59   78892    1253 0.01588 17.82   78266
  60   77639    1300 0.01674 17.10   76989
  61   76339    1391 0.01822 16.38   75644
  62   74948    1465 0.01955 15.68   74216
  63   73483    1567 0.02132 14.98   72700
  64   71916    1626 0.02261 14.29   71103
  65   70290    1746 0.02484 13.61   69417
  66   68544    1905 0.02779 12.95   67592
  67   66639    1988 0.02983 12.30   65646
  68   64652    2121 0.03280 11.67   63591
  69   62531    2284 0.03653 11.04   61389
  70   60247    2443 0.04055 10.44   59025
  71   57804    2541 0.04395  9.86   56534
  72   55263    2704 0.04894  9.30   53911
  73   52559    2802 0.05332  8.75   51158
  74   49757    2995 0.06019  8.21   48259
  75   46761    3097 0.06624  7.71   45213
  76   43664    3243 0.07427  7.22   42043
  77   40421    3382 0.08367  6.76   38730
  78   37039    3410 0.09205  6.33   35334
  79   33629    3380 0.10049  5.92   31940
  80   30250    3340 0.11042  5.52   28580
  81   26910    3289 0.12222  5.15   25265
  82   23621    3249 0.13753  4.79   21996
  83   20372    3021 0.14831  4.48   18861
  84   17351    2887 0.16637  4.17   15907
  85   14464    2514 0.17380  3.91   13207
  86   11950    2280 0.19079  3.62   10810
  87    9670    2093 0.21642  3.36    8624
  88    7577    1797 0.23716  3.15    6679
  89    5780    1503 0.25994  2.97    5029
  90    4278    1120 0.26192  2.84    3718
  91    3157     869 0.27526  2.67    2723
  92    2288     707 0.30913  2.49    1935
  93    1581     500 0.31601  2.38    1331
  94    1081     368 0.34019  2.26     897
  95     713     246 0.34546  2.16     590
  96     467     166 0.35554  2.04     384
  97     301     124 0.41119  1.88     239
  98     177      73 0.41087  1.85     141
  99     104      31 0.29543  1.79      89
 100      74      44 0.59163  1.33      52
 101      30      14 0.45003  1.54      23
 102      17       7 0.42188  1.40      13
 103      10       5 0.56522  1.05       7
 104       4       3 0.73333  0.77       3
 105       1                  0.50       1
 Total population stationnaire     6845254



               SEXES REUNIS
     Table de mortalité : année 1957

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000    3333 0.03333 68.91   98333
   1   96667     343 0.00355 70.27   96495
   2   96323     134 0.00139 69.52   96257
   3   96190      87 0.00090 68.62   96147
   4   96103      68 0.00071 67.68   96069
   5   96035      55 0.00057 66.73   96008
   6   95980      49 0.00051 65.76   95956
   7   95931      44 0.00046 64.80   95909
   8   95888      40 0.00042 63.83   95868
   9   95848      34 0.00036 62.85   95831
  10   95813      36 0.00037 61.87   95795
  11   95778      34 0.00036 60.90   95760
  12   95743      41 0.00043 59.92   95723
  13   95702      40 0.00042 58.94   95682
  14   95662      48 0.00050 57.97   95638
  15   95614      55 0.00058 57.00   95587
  16   95559      72 0.00075 56.03   95524
  17   95488      86 0.00090 55.07   95445
  18   95402      99 0.00104 54.12   95352
  19   95303     105 0.00110 53.18   95250
  20   95198      90 0.00095 52.24   95153
  21   95108      95 0.00100 51.28   95060
  22   95013      96 0.00101 50.33   94965
  23   94917     122 0.00128 49.39   94856
  24   94795     132 0.00139 48.45   94729
  25   94664     143 0.00151 47.51   94592
  26   94520     133 0.00141 46.59   94454
  27   94387     143 0.00152 45.65   94315
  28   94244     148 0.00157 44.72   94170
  29   94096     144 0.00153 43.79   94024
  30   93953     169 0.00180 42.86   93868
  31   93784     161 0.00171 41.93   93703
  32   93623     170 0.00182 41.00   93538
  33   93453     182 0.00195 40.08   93362
  34   93271     184 0.00197 39.15   93179
  35   93087     202 0.00217 38.23   92986
  36   92885     207 0.00223 37.31   92782
  37   92678     235 0.00253 36.39   92561
  38   92443     250 0.00271 35.49   92318
  39   92193     279 0.00303 34.58   92053
  40   91914     277 0.00301 33.68   91775
  41   91637     311 0.00339 32.78   91481
  42   91326     324 0.00355 31.89   91164
  43   91002     366 0.00402 31.01   90819
  44   90636     392 0.00432 30.13   90440
  45   90244     438 0.00485 29.26   90026
  46   89807     461 0.00513 28.40   89576
  47   89346     523 0.00585 27.54   89084
  48   88823     560 0.00631 26.70   88543
  49   88263     622 0.00705 25.87   87952
  50   87641     661 0.00754 25.05   87310
  51   86980     726 0.00834 24.23   86617
  52   86254     795 0.00922 23.43   85856
  53   85459     831 0.00973 22.65   85043
  54   84628     908 0.01073 21.86   84174
  55   83720     983 0.01174 21.10   83228
  56   82737    1018 0.01230 20.34   82228
  57   81719    1112 0.01361 19.59   81163
  58   80606    1171 0.01453 18.85   80021
  59   79435    1231 0.01549 18.12   78820
  60   78205    1327 0.01696 17.40   77542
  61   76878    1360 0.01769 16.69   76198
  62   75519    1458 0.01930 15.98   74790
  63   74061    1528 0.02063 15.29   73297
  64   72533    1639 0.02260 14.60   71714
  65   70894    1743 0.02458 13.92   70023
  66   69151    1881 0.02721 13.26   68211
  67   67270    1956 0.02907 12.62   66292
  68   65314    2085 0.03192 11.98   64272
  69   63229    2262 0.03578 11.36   62098
  70   60967    2432 0.03988 10.76   59751
  71   58535    2524 0.04312 10.19   57273
  72   56011    2666 0.04761  9.63   54678
  73   53345    2794 0.05237  9.08   51948
  74   50551    2920 0.05777  8.56   49091
  75   47631    3072 0.06449  8.05   46095
  76   44559    3089 0.06932  7.57   43015
  77   41470    3235 0.07801  7.10   39853
  78   38235    3303 0.08639  6.66   36584
  79   34932    3328 0.09527  6.24   33268
  80   31604    3275 0.10363  5.84   29967
  81   28329    3221 0.11369  5.46   26719
  82   25108    3120 0.12425  5.10   23549
  83   21989    3070 0.13961  4.75   20454
  84   18919    2847 0.15050  4.44   17495
  85   16072    2681 0.16681  4.14   14731
  86   13391    2413 0.18022  3.87   12184
